840401,ต. อ่างทอง,Ang Thong,8404,อ. เกาะสมุย,Ko Samui,84,จ. สุราษฎร์ธานี,Surat Thani,99.677,9.664
830108,ต. กะรน,Karon,8301,อ. เมืองภูเก็ต,Mueang Phuket,83,จ. ภูเก็ต,Phuket,98.285,7.821
840401,ต. อ่างทอง,Ang Thong,8404,อ. เกาะสมุย,Ko Samui,84,จ. สุราษฎร์ธานี,Surat Thani,99.675,9.687
921003,ต. ตะเสะ,Tase,9210,อ. หาดสำราญ,Hat Samran,92,จ. ตรัง,Trang,99.631,7.144
210114,ต. มาบตาพุด,Maptaphut,2101,อ. เมืองระยอง,Mueang Rayong,21,จ. ระยอง,Rayong,101.170,12.648
860306,ต. ปากคลอง,Pak Khlong,8603,อ. ปะทิว,Pathio,86,จ. ชุมพร,Chumphon,99.489,10.865
910106,ต. เกาะสาหร่าย,Ko Sarai,9101,อ. เมืองสตูล,Mueang Satun,91,จ. สตูล,Satun,99.173,6.508
920221,ต. เกาะลูกไม้,,9202,อ. กันตัง,Kantang,92,จ. ตรัง,Trang,99.450,7.291
920501,ต. บ่อหิน,Bo Hin,9205,อ. สิเกา,Sikao,92,จ. ตรัง,Trang,99.283,7.549
840401,ต. อ่างทอง,Ang Thong,8404,อ. เกาะสมุย,Ko Samui,84,จ. สุราษฎร์ธานี,Surat Thani,99.668,9.770
840401,ต. อ่างทอง,Ang Thong,8404,อ. เกาะสมุย,Ko Samui,84,จ. สุราษฎร์ธานี,Surat Thani,99.711,9.521
840401,ต. อ่างทอง,Ang Thong,8404,อ. เกาะสมุย,Ko Samui,84,จ. สุราษฎร์ธานี,Surat Thani,99.713,9.800
860116,ต. หาดทรายรี,Hat Sai Ri,8601,อ. เมืองชุมพร,Mueang Chumphon,86,จ. ชุมพร,Chumphon,99.316,10.426
840401,ต. อ่างทอง,Ang Thong,8404,อ. เกาะสมุย,Ko Samui,84,จ. สุราษฎร์ธานี,Surat Thani,99.715,9.603
910106,ต. เกาะสาหร่าย,Ko Sarai,9101,อ. เมืองสตูล,Mueang Satun,91,จ. สตูล,Satun,99.318,6.499
910106,ต. เกาะสาหร่าย,Ko Sarai,9101,อ. เมืองสตูล,Mueang Satun,91,จ. สตูล,Satun,99.692,6.652
